TITULO;PRECIO;ENVIO;ESTADO;LINK
"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS";$257.499;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-asus-x515ea-slate-gray-156-intel-core-i7-1165g7-8gb-de-ram-512gb-ssd-intel-iris-xe-graphics-g7-96eus-1920x1080px-freedos/p/MLA19854585?pdp_filters=category:MLA1652#searchVariation=MLA19854585&position=21&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook HP 15-dy2054la plateada natural 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1366x768px Windows 11 Home";$259.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-hp-15-dy2054la-plateada-natural-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-1366x768px-windows-11-home/p/MLA19694803?pdp_filters=category:MLA1652#searchVariation=MLA19694803&position=14&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Dell Inspiron 3511 negra 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px Linux Ubuntu";$264.989;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-inspiron-3511-negra-156-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-60-hz-1920x1080px-linux-ubuntu/p/MLA19818494?pdp_filters=category:MLA1652#searchVariation=MLA19818494&position=35&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus X1502 Intel Core I5 1240p 16gb Ssd 1tb W11;$265.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1311302118-notebook-asus-x1502-intel-core-i5-1240p-16gb-ssd-1tb-w11-_JM#position=51&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo I5-1235u 512gb Ssd 8gb 15.6  Win11 Pro ;$269.599;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1293483810-notebook-lenovo-i5-1235u-512gb-ssd-8gb-156-win11-pro-_JM#position=49&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo Ryzen 7 5700u 12gb 512gb Ssd 15.6 Fhd Tactil;$271.199;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ryzen-7-5700u-12gb-512gb-ssd-156-fhd-tactil/p/MLA19782007?pdp_filters=category:MLA1652#searchVariation=MLA19782007&position=34&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Lenovo Thinkpad L15 Gen 2 Intel® I7-1165g7 8gb Ram 256gb Ssd;$285.000;Envío gratis;Reacondicionado;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Gjq47TSgdEUwgU8vzz0qMgaGxA46CGy8ZCSpOd4SAerdC3YJv%2Baiot2vFiSaNxRW0Uru2bM%2FDlQ4trDZsZSAhxrnu92%2BYqRjbU5F%2FTH7uqMQ88TNf0vBbGKqWvEXd6zNbfiu4W5QqKaN5jqdcYP2fDmLU3Z5hYfu8CSDOHleqXW4Y1mLRJ58RKQabqe3cWck6by5nGr1Gjz34cmN4eHjQbxZCgtg%2F%2FLqf0yhqPCiPsOSCax%2F8WqP3kB0PsvwCOZ1otlWhTnIMaUmN6u1X5Duuq0GBZ6YU0OZoCb3uIFJO8vamuHOWACUxKVWc8Voz1Qa%2Fk6pIuJZ9Tt2iG34n6fbHQ9BsZzFC%2Fwk6Ks%2FkFlVe8gVgev3UqLsturrBEiO0WOv3gKVQnDFaBpVjA8wCJzkdICcge8guv0cEKcOU8aQ9LjMPG3GMHshN1nzEbjND97%2BGT3tnCavTjW4cMbbbNIOvucNHltpVy2rbODBPwZ7%2BkiDj5sFXeLp9nxokks%2FWAtfwBsbZd%2FCjFKrCFBOu5xdC4WQ2nT2E7%2FVqCQA2Se9b0uJxLROc0T5fQLCuQKsvPZaXfxVJNmZLfZLxHJwKDWZf4RssVohmvpaQmcr8mHjPf1us4CUdCQK3bqlI15IT9dbi%2BQgVm3IBiwsnMn5yUtZWW4ixFoIJk2AGeLmWhBK9bcwC13uFxdFlsadcoMeLJNzR4e3YwBJh1%2BaWvPSTzeeUHPd&rb=x
"Notebook EXO Smart XQ3K-S3882 gris 15.6"", Intel Core i3 8130U  8GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px Windows 11 Home";$298.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-exo-smart-xq3k-s3882-gris-156-intel-core-i3-8130u-8gb-de-ram-256gb-ssd-intel-uhd-graphics-620-1920x1080px-windows-11-home/p/MLA19818469?pdp_filters=category:MLA1652#searchVariation=MLA19818469&position=29&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Enova C141EK7-CI7I-48 negra 14"", Intel Core i7 1065G7  8GB de RAM 480GB SSD, Intel Iris Plus Graphics G7 1920x1080px Windows 10 Home";$299.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-enova-c141ek7-ci7i-48-negra-14-intel-core-i7-1065g7-8gb-de-ram-480gb-ssd-intel-iris-plus-graphics-g7-1920x1080px-windows-10-home/p/MLA18554411?pdp_filters=category:MLA1652#searchVariation=MLA18554411&position=10&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Enova 4 Gb 64gb Ssd 14  Intel N4200 Ultra Book;$350.000;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-enova-4-gb-64gb-ssd-14-intel-n4200-ultra-book/p/MLA20022734?pdp_filters=category:MLA1652#searchVariation=MLA20022734&position=15&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
